HPO_id	phenotype_group_k1000	phenotype_group_k1500
HP:0000363	33	532
HP:0000364	293	1270
HP:0000365	293	1270
HP:0000366	623	1247
HP:0000368	324	80
HP:0000369	324	80
HP:0000370	776	776
HP:0000371	776	776
HP:0000372	559	120
HP:0000375	37	531
HP:0000376	503	1007
HP:0000377	33	532
HP:0000378	33	476
HP:0000381	549	549
HP:0000383	203	228
HP:0000384	461	46
HP:0000385	33	532
HP:0000387	33	532
HP:0000388	776	776
HP:0000389	776	776
HP:0000391	42	308
HP:0000394	33	476
HP:0000395	806	200
HP:0000396	42	554
HP:0000399	113	1193
HP:0000400	33	476
HP:0000402	559	120
HP:0000403	309	1191
HP:0000405	949	949
HP:0000407	293	823
HP:0000408	113	314
HP:0000410	949	949
HP:0000411	33	476
HP:0000413	559	120
HP:0000414	381	381
HP:0000415	980	980
HP:0000417	381	381
HP:0000418	240	1351
HP:0000419	822	822
HP:0000420	822	822
HP:0000421	339	1385
HP:0000422	623	1247
HP:0000426	34	1365
HP:0000429	240	250
HP:0000430	381	381
HP:0000431	34	1365
HP:0000433	941	941
HP:0000434	71	284
HP:0000436	240	942
HP:0000437	240	942
HP:0000444	240	1351
HP:0000445	381	381
HP:0000446	34	1365
HP:0000447	381	381
HP:0000448	381	381
HP:0000451	240	942
HP:0000452	980	980
HP:0000453	980	980
HP:0000454	240	250
HP:0000455	381	381
HP:0000456	240	942
HP:0000457	240	1351
HP:0000458	580	1072
HP:0000460	381	381
HP:0000463	381	381
HP:0000464	67	257
HP:0000465	67	257
HP:0000466	67	693
HP:0000467	213	681
HP:0000468	9	1451
HP:0000470	482	735
HP:0000471	607	1215
HP:0000472	67	257
HP:0000473	67	1111
HP:0000474	225	1428
HP:0000475	67	257
HP:0000476	67	257
HP:0000478	895	895
HP:0000479	636	1274
HP:0000480	388	388
HP:0000481	775	387
HP:0000482	124	1294
HP:0000483	35	1033
HP:0000484	35	1033
HP:0000485	124	1294
HP:0000486	631	1264
HP:0000488	636	1274
HP:0000490	94	515
HP:0000491	645	645
HP:0000492	259	752
HP:0000493	152	114
HP:0000494	534	266
HP:0000495	645	645
HP:0000496	631	1264
HP:0000497	36	1
HP:0000498	258	1265
HP:0000499	909	112
HP:0000501	377	377
HP:0000502	265	215
HP:0000503	265	607
HP:0000504	853	853
HP:0000505	853	853
HP:0000506	29	47
HP:0000508	517	1143
HP:0000509	265	607
HP:0000510	325	333
HP:0000511	863	863
HP:0000512	695	173
HP:0000514	219	66
HP:0000517	775	387
HP:0000518	775	387
HP:0000519	896	896
HP:0000520	94	515
HP:0000522	779	389
HP:0000523	805	805
HP:0000524	265	607
HP:0000525	795	795
HP:0000526	705	352
HP:0000527	909	112
HP:0000528	705	352
HP:0000529	459	459
HP:0000531	268	567
HP:0000532	636	1274
